Saturday,1/09/2018,1 USD =,70.8701 INR,
Friday,31/08/2018,1 USD =,70.8701 INR,
Thursday,30/08/2018,1 USD =,71.065 INR,
Wednesday,29/08/2018,1 USD =,70.6076 INR,
Tuesday,28/08/2018,1 USD =,70.2644 INR,
Monday,27/08/2018,1 USD =,69.955 INR,
Sunday,26/08/2018,1 USD =,69.7745 INR,
Saturday,25/08/2018,1 USD =,69.7753 INR,
Friday,24/08/2018,1 USD =,69.7753 INR,
Thursday,23/08/2018,1 USD =,70.2874 INR,
Wednesday,22/08/2018,1 USD =,69.7988 INR,
Tuesday,21/08/2018,1 USD =,69.8126 INR,
Monday,20/08/2018,1 USD =,69.7633 INR,
Sunday,19/08/2018,1 USD =,69.8295 INR,
Saturday,18/08/2018,1 USD =,69.7951 INR,
Friday,17/08/2018,1 USD =,69.7951 INR,
Thursday,16/08/2018,1 USD =,70.0138 INR,
Wednesday,15/08/2018,1 USD =,70.2781 INR,
Tuesday,14/08/2018,1 USD =,69.9602 INR,
Monday,13/08/2018,1 USD =,69.955 INR,
Sunday,12/08/2018,1 USD =,69.0905 INR,
Saturday,11/08/2018,1 USD =,69.0945 INR,
Friday,10/08/2018,1 USD =,69.0945 INR,
Thursday,9/08/2018,1 USD =,68.8639 INR,
Wednesday,8/08/2018,1 USD =,68.4645 INR,
Tuesday,7/08/2018,1 USD =,68.6061 INR,
Monday,6/08/2018,1 USD =,68.8183 INR,
Sunday,5/08/2018,1 USD =,68.5169 INR,
Saturday,4/08/2018,1 USD =,68.515 INR,
Friday,3/08/2018,1 USD =,68.515 INR,
Thursday,2/08/2018,1 USD =,68.5543 INR,
Wednesday,1/08/2018,1 USD =,68.336 INR,
Tuesday,31/07/2018,1 USD =,68.4905 INR,
Monday,30/07/2018,1 USD =,68.6955 INR,
Sunday,29/07/2018,1 USD =,68.6214 INR,
Saturday,28/07/2018,1 USD =,68.6249 INR,
Friday,27/07/2018,1 USD =,68.6249 INR,
Thursday,26/07/2018,1 USD =,68.7474 INR,
Wednesday,25/07/2018,1 USD =,68.7316 INR,
Tuesday,24/07/2018,1 USD =,68.9486 INR,
Monday,23/07/2018,1 USD =,68.9449 INR,
Sunday,22/07/2018,1 USD =,68.7415 INR,
Saturday,21/07/2018,1 USD =,68.747 INR,
Friday,20/07/2018,1 USD =,68.745 INR,
Thursday,19/07/2018,1 USD =,68.9453 INR,
Wednesday,18/07/2018,1 USD =,68.625 INR,
Tuesday,17/07/2018,1 USD =,68.3624 INR,
Monday,16/07/2018,1 USD =,68.5486 INR,
Sunday,15/07/2018,1 USD =,68.4967 INR,
Saturday,14/07/2018,1 USD =,68.4955 INR,
Friday,13/07/2018,1 USD =,68.4949 INR,
Thursday,12/07/2018,1 USD =,68.4871 INR,
Wednesday,11/07/2018,1 USD =,68.7319 INR,
Tuesday,10/07/2018,1 USD =,68.645 INR,
Monday,9/07/2018,1 USD =,68.6697 INR,
Sunday,8/07/2018,1 USD =,68.7652 INR,
Saturday,7/07/2018,1 USD =,68.7659 INR,
Friday,6/07/2018,1 USD =,68.765 INR,
Thursday,5/07/2018,1 USD =,68.878 INR,
Wednesday,4/07/2018,1 USD =,68.991 INR,
Tuesday,3/07/2018,1 USD =,68.5445 INR,
Monday,2/07/2018,1 USD =,68.715 INR,
Sunday,1/07/2018,1 USD =,68.445 INR,
Saturday,30/06/2018,1 USD =,68.444 INR,
Friday,29/06/2018,1 USD =,68.4465 INR,
Thursday,28/06/2018,1 USD =,68.8214 INR,
Wednesday,27/06/2018,1 USD =,68.9279 INR,
Tuesday,26/06/2018,1 USD =,68.3694 INR,
Monday,25/06/2018,1 USD =,68.1116 INR,
Sunday,24/06/2018,1 USD =,67.8669 INR,
Saturday,23/06/2018,1 USD =,67.866 INR,
Friday,22/06/2018,1 USD =,67.866 INR,
Thursday,21/06/2018,1 USD =,67.8339 INR,
Wednesday,20/06/2018,1 USD =,68.0596 INR,
Tuesday,19/06/2018,1 USD =,68.0466 INR,
Monday,18/06/2018,1 USD =,68.099 INR,
Sunday,17/06/2018,1 USD =,68.156 INR,
Saturday,16/06/2018,1 USD =,68.1757 INR,
Friday,15/06/2018,1 USD =,68.1757 INR,
Thursday,14/06/2018,1 USD =,67.8659 INR,
Wednesday,13/06/2018,1 USD =,67.5264 INR,
Tuesday,12/06/2018,1 USD =,67.5957 INR,
Monday,11/06/2018,1 USD =,67.4939 INR,
Sunday,10/06/2018,1 USD =,67.52 INR,
Saturday,9/06/2018,1 USD =,67.5133 INR,
Friday,8/06/2018,1 USD =,67.5141 INR,
Thursday,7/06/2018,1 USD =,67.4177 INR,
Wednesday,6/06/2018,1 USD =,66.841 INR,
Tuesday,5/06/2018,1 USD =,67.0924 INR,
Monday,4/06/2018,1 USD =,67.0702 INR,
Sunday,3/06/2018,1 USD =,66.935 INR,
Saturday,2/06/2018,1 USD =,66.9996 INR,
Friday,1/06/2018,1 USD =,66.9347 INR,
Thursday,31/05/2018,1 USD =,67.4396 INR,
Wednesday,30/05/2018,1 USD =,67.4406 INR,
Tuesday,29/05/2018,1 USD =,67.8349 INR,
Monday,28/05/2018,1 USD =,67.411 INR,
Sunday,27/05/2018,1 USD =,67.7316 INR,
Saturday,26/05/2018,1 USD =,67.7303 INR,
Friday,25/05/2018,1 USD =,67.7301 INR,
Thursday,24/05/2018,1 USD =,68.2677 INR,
Wednesday,23/05/2018,1 USD =,68.3212 INR,
Tuesday,22/05/2018,1 USD =,68.0848 INR,
Monday,21/05/2018,1 USD =,68.1155 INR,
Sunday,20/05/2018,1 USD =,67.9764 INR,
Saturday,19/05/2018,1 USD =,67.9823 INR,
Friday,18/05/2018,1 USD =,67.9846 INR,
Thursday,17/05/2018,1 USD =,67.804 INR,
Wednesday,16/05/2018,1 USD =,67.7369 INR,
Tuesday,15/05/2018,1 USD =,68.478 INR,
Monday,14/05/2018,1 USD =,67.6873 INR,
Sunday,13/05/2018,1 USD =,67.3759 INR,
Saturday,12/05/2018,1 USD =,67.3916 INR,
Friday,11/05/2018,1 USD =,67.3934 INR,
Thursday,10/05/2018,1 USD =,67.105 INR,
Wednesday,9/05/2018,1 USD =,67.3492 INR,
Tuesday,8/05/2018,1 USD =,67.1701 INR,
